Area,Item,Element,Unit,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
Austria,Cherries,Production,tonnes,27250.0,25909.0,27243.0,33890.0,26790.0,30276.0,52013.0,71170.0,38680.0,47943.0,56883.0
Austria,"Cherries, sour",Production,tonnes,4960.0,4311.0,4866.0,5813.0,4840.0,5164.0,4047.0,7269.0,4030.0,5780.0,5600.0
Austria,"Chillies and peppers, green",Production,tonnes,9861.0,9451.0,10368.0,14701.0,17693.0,17855.0,14682.0,16047.0,17280.0,18355.0,18601.0
Austria,Cucumbers and gherkins,Production,tonnes,41600.0,38195.0,35647.0,38721.0,36741.0,41534.0,40939.0,45393.0,46473.0,42694.0,45537.0
Austria,Currants,Production,tonnes,19549.0,19442.0,19290.0,19934.0,19767.0,19375.0,13200.0,19960.0,19140.0,19174.0,22225.0
Austria,Eggplants (aubergines),Production,tonnes,210.0,267.0,334.0,278.0,503.0,198.0,565.0,409.0,350.0,680.0,894.0
Austria,Flax fibre and tow,Production,tonnes,91.0,93.0,95.0,18.0,1.0,3.0,4.0,1.0,7.0,0.0,0.0
Austria,Garlic,Production,tonnes,204.0,231.0,232.0,222.0,276.0,263.0,308.0,483.0,518.0,773.0,900.0
Austria,Gooseberries,Production,tonnes,1693.0,1657.0,1756.0,1867.0,1815.0,1654.0,1871.0,2359.0,1875.0,1895.0,1920.0
Austria,"Grain, mixed",Production,tonnes,36525.0,35559.0,47989.0,30341.0,30925.0,30313.0,34786.0,35145.0,31627.0,14019.0,15174.0
Austria,Grapes,Production,tonnes,364608.0,301869.0,300840.0,350403.0,399163.0,313583.0,231660.0,375301.0,287301.0,318926.0,266491.0
Austria,Hemp tow waste,Production,tonnes,2500.0,1900.0,3700.0,2500.0,1900.0,2500.0,3321.0,3139.0,3300.0,2100.0,3900.0
Austria,Hops,Production,tonnes,300.0,313.0,304.0,368.0,384.0,347.0,370.0,451.0,445.0,372.0,492.0
Austria,"Leeks, other alliaceous vegetables",Production,tonnes,6673.0,5799.0,5815.0,5192.0,5270.0,5915.0,6042.0,6239.0,6300.0,5274.0,5094.0
Austria,Lettuce and chicory,Production,tonnes,53989.0,56594.0,59072.0,62487.0,57458.0,55158.0,47573.0,47358.0,54016.0,49353.0,44911.0
Austria,Linseed,Production,tonnes,5868.0,6441.0,5765.0,2415.0,812.0,642.0,852.0,906.0,871.0,626.0,1035.0
Austria,Lupins,Production,tonnes,608.0,1038.0,1415.0,1289.0,523.0,621.0,440.0,344.0,185.0,174.0,243.0
