,Year,Type,Area,Gender,Species
148,2017,Unprovoked,South Carolina,Female,Unidentified Species
149,2017,Unprovoked,Saint-Leu,Male,Unidentified Species
150,2017,Unprovoked,South Island,Female,Unidentified Species
151,2017,Arbitrary incident,Florida,Female,No shark invovlement - it ws a publicity stunt
152,2017,Unprovoked,Ascension Island,Female,Unidentified Species
153,2017,Arbitrary incident,South Carolina,Male,Shark involvement not confirmed
154,2017,Unprovoked,Florida,Unrecorded Gender,Unidentified Species
155,2017,Unprovoked,Western Australia,Female,White shark
156,2017,Unprovoked,Hawaii,Male,"Tiger shark, 12'"
157,2017,Unprovoked,Florida,Male,Unidentified Species
158,2017,Unprovoked,Florida,Female,Unidentified Species
159,2017,Arbitrary incident,KwaZulu-Natal,Male,Shark involvement prior to death not confirmed
160,2017,Unprovoked,Florida,Female,Unidentified Species
161,2017,Unprovoked,Florida,Female,Unidentified Species
162,2017,Unprovoked,Florida,Female,Unidentified Species
163,2017,Unprovoked,Florida,Male,Unidentified Species
164,2017,Unprovoked,Florida,Female,Unidentified Species
165,2017,Unprovoked,Queensland,Male,Unidentified Species
166,2017,Unprovoked,Florida,Female,"Bull shark, 5' to 7'"
167,2017,Unprovoked,Florida,Male,Unidentified Species
168,2017,Unprovoked,New South Wales,Male,Unidentified Species
169,2017,Boating,California,Male,White shark
170,2017,Unprovoked,Luzon Island,Male,10' shark
171,2017,Unprovoked,Great Exuma,Male,Lemon shark
172,2017,Unprovoked,Western Australia,Female,"Bull shark, 1.5"
173,2017,Unprovoked,Western Australia,Male,Unidentified Species
174,2017,Unprovoked,Saint-Andre,Male,Unidentified Species
175,2017,Unprovoked,Queensland,Male,Unidentified Species
176,2017,Unprovoked,Florida,Male,Unidentified Species
177,2017,Provoked,Pernambuco,Female,Lemon shark pup
178,2017,Boating,KwaZulu-Natal,Male,Tiger shark
179,2017,Boating,South Carolina,Unrecorded Gender,"White shark, female, 14'"
180,2017,Unprovoked,Bimini,Male,Caribbean reef shark
181,2017,Unprovoked,Pernambuco,Male,Unidentified Species
182,2017,Unprovoked,Florida,Male,Unidentified Species
183,2017,Unprovoked,Queensland,Male,"Bull shark, 4 m"
184,2017,Unprovoked,Queensland,Male,Unidentified Species
185,2017,Unprovoked,Florida,Male,Unidentified Species
186,2017,Unprovoked,Bali,Male,"Bull shark, 1 m"
187,Unreported Year,Arbitrary incident,Queensland,Male,Bull shark
188,2017,Unprovoked,Florida,Male,Unidentified Species
189,2017,Arbitrary incident,New South Wales,Male,Shark involvement not confirmed
190,2016,Unprovoked,Florida,Male,Unidentified Species
191,2016,Unprovoked,Western Australia,Female,a small shark
192,2016,Unprovoked,Western Cape Province,Male,"White shark, 4 m"
193,2016,Unprovoked,Western Australia,Male,Unidentified Species
194,2016,Unprovoked,Tuamotos,Male,Unidentified Species
195,2016,Arbitrary incident,Florida,Male,Shark involvement not confirmed
196,2016,Provoked,New South Wales,Male,"Wobbegong shark, 2m"
197,2016,Unprovoked,New South Wales,Male,White shark
198,2016,Provoked,Victoria,Male,"Broadnose sevengill shark, 1.5 m"
199,2016,Unprovoked,Hawaii,Female,Tiger shark
200,2016,Unprovoked,Florida,Male,Unidentified Species
201,2016,Unprovoked,Florida,Male,Unidentified Species
202,2016,Unprovoked,New South Wales,Male,Unidentified Species
203,2016,Unprovoked,Hawaii,Male, 6' to 8' shark
204,2016,Unprovoked,Queensland,Male,Unidentified Species
205,2016,Unprovoked,Hawaii,Female,Unidentified Species
206,2016,Arbitrary incident,Non-Registered Area,Male,White shark
207,2016,Unprovoked,New South Wales,Male,Unidentified Species
208,2016,Unprovoked,Oregon,Male,Unidentified Species
209,2016,Unprovoked,Florida,Male,Unidentified Species
210,2016,Unprovoked,Florida,Male,Unidentified Species
211,2016,Unprovoked,New South Wales,Male,"White shark, 3.5 m"
212,2016,Unprovoked,Florida,Male,Unidentified Species
213,2016,Unprovoked,Florida,Male,Unidentified Species
214,2016,Unprovoked,Florida,Male,Unidentified Species
215,2016,Unprovoked,California,Male,Unidentified Species
216,2016,Unprovoked,Victoria,Male,Unidentified Species
217,2016,Unprovoked,Victoria,Male,2 m shark
218,2016,Boating,Western Australia,Unrecorded Gender,Unidentified Species
219,2016,Unprovoked,Florida,Male,3' to 4' shark
220,2016,Unprovoked,Hawaii,Female,"Tiger shark, 10'"
221,2016,Unprovoked,North Province,Male,Unidentified Species
222,2016,Unprovoked,South Carolina,Female,Unidentified Species
223,2016,Unprovoked,Western Australia,Male,Unidentified Species
224,2016,Unprovoked,Florida,Male,Unidentified Species
225,2016,Unprovoked,California,Male,"White shark, 8' to 10'"
227,2016,Unprovoked,Florida,Male,"Bull shark, 6'"
228,2016,Unprovoked,Florida,Male,Unidentified Species
229,2016,Unprovoked,Non-Registered Area,Male,"Bull shark, 3.5 m"
230,2016,Unprovoked,Florida,Male,Unidentified Species
231,2016,Unprovoked,New Providence Island,Male,Unidentified Species
232,2016,Unprovoked,Hawaii,Male,"Tiger shark, 10' "
233,2016,Unprovoked,Florida,Male,Blacktip shark
234,2016,Unprovoked,Alicante Province,Male,Blue shark
235,2016,Unprovoked,Hong Kong,Male,Unidentified Species
236,2016,Boating,Western Australia,Male,White shark
237,2016,Provoked,Florida,Male,"Nurse shark, 4'"
238,2016,Unprovoked,New South Wales,Male,Unidentified Species
239,2016,Unprovoked,Kochi Prefecture,Male,Unidentified Species
240,2016,Unprovoked,Tasmania,Male,Unidentified Species
241,2016,Unprovoked,Abaco Islands,Male,"Bull shark, 6'"
242,2016,Provoked,Queensland,Male,"reef shark, 1m"
243,2016,Boating,Alabama,Unrecorded Gender,"Tiger shark, 10' "
