,Employed foreigners,Employed nationals,Unemployed foreigners,Unemployed nationals,Year,Country,Active nationals,Active foreigners,Active population,Unemployed population,Employed population,Unemployment rate total,Unemployment rate nationals,Unemployment rate foreigners,Change Active population,Change Active nationals,Change Active foreigners,Change Unemployed population,Change Unemployed nationals,Change Unemployed foreigners,Change Employed population,Change Employed nationals,Change Employed foreigners,Net increase active foreigners as % of last year active population
2011Germany (until 1990 former territory of the FRG),6141.9,69948.9,764.0,4020.1000000000004,2011,Germany (until 1990 former territory of the FRG),73969.0,6905.9,80874.9,4784.1,76090.79999999999,0.05915432352930267,0.054348443266773926,0.11063004097945235,518.5,490.8000000000029,27.69999999999891,-898.2999999999993,-729.6999999999989,-168.60000000000002,1416.7999999999884,1220.5,196.29999999999927,0.0003447142978032728
2011Greece,710.5999999999999,7245.0,186.8,1572.4,2011,Greece,8817.4,897.3999999999999,9714.8,1759.2,7955.6,0.18108453081895667,0.17832921269308416,0.20815689770447965,-171.60000000000036,-98.0,-73.60000000000014,483.4000000000001,443.60000000000014,39.80000000000001,-654.9999999999982,-541.5999999999995,-113.40000000000009,-0.00744457031882183
2011Hungary,62.0,7386.6,3.4,924.8000000000001,2011,Hungary,8311.4,65.4,8376.8,928.2,7448.6,0.11080603571769651,0.11126885963856872,0.05198776758409785,38.600000000000364,35.600000000000364,3.000000000000007,-7.399999999999977,-7.7999999999999545,0.3999999999999999,46.00000000000091,43.400000000000546,2.6000000000000014,0.00035978988270849913
2011Iceland,14.899999999999999,303.3,1.6,22.599999999999998,2011,Iceland,325.90000000000003,16.5,342.40000000000003,24.2,318.2,0.07067757009345793,0.06934642528382938,0.09696969696969697,-1.3000000000000114,-3.6999999999999886,2.3999999999999986,-2.0,-1.2000000000000028,-0.7999999999999998,0.6999999999999886,-2.5,3.1999999999999975,0.006982833866744248
2011Ireland,553.4,3127.4,123.0,560.8,2011,Ireland,3688.2,676.4,4364.599999999999,683.8,3680.8,0.1566695688035559,0.15205249173038338,0.18184506209343584,-46.400000000000546,-41.40000000000009,-5.0,30.799999999999955,29.399999999999977,1.4000000000000057,-77.19999999999982,-70.79999999999973,-6.399999999999977,-0.0011335298118340512
2011Italy,4038.8,40391.0,555.6,3558.6000000000004,2011,Italy,43949.6,4594.400000000001,48544.0,4114.200000000001,44429.8,0.08475197758734346,0.08097002020496206,0.12092982761622845,138.1999999999971,-145.20000000000437,283.40000000000055,11.600000000000364,-44.399999999999636,56.0,126.59999999999854,-100.80000000000291,227.4000000000001,0.005854670308103585
2011Latvia,246.9,1434.1999999999998,70.4,261.8,2011,Latvia,1695.9999999999998,317.3,2013.2999999999997,332.20000000000005,1681.1,0.16500273183330855,0.15436320754716984,0.22187204538291838,-53.80000000000018,-39.90000000000032,-13.899999999999977,-77.29999999999995,-57.30000000000001,-19.999999999999986,23.5,17.399999999999864,6.099999999999994,-0.0067243964975085765
2011Lithuania,6.3,2439.0,0.0,451.4,2011,Lithuania,2890.4,6.3,2896.7000000000003,451.4,2445.3,0.1558324990506438,0.1561721561029615,0.0,-78.59999999999991,-77.09999999999991,-1.5,-83.20000000000005,-83.20000000000005,0.0,4.599999999999909,6.099999999999909,-1.5,-0.000504150841931906
2011Luxembourg,217.9,226.70000000000002,14.899999999999999,8.1,2011,Luxembourg,234.8,232.8,467.6,23.0,444.6,0.04918733960650128,0.034497444633730834,0.06400343642611683,10.700000000000045,2.600000000000051,8.100000000000023,2.8000000000000007,1.4999999999999991,1.299999999999999,7.900000000000091,1.1000000000000512,6.800000000000011,0.01772816808929749
2011Malta,8.3,320.2,0.4,21.8,2011,Malta,342.0,8.700000000000001,350.7,22.2,328.5,0.06330196749358426,0.06374269005847953,0.04597701149425287,6.5,8.800000000000011,-2.299999999999999,-1.0999999999999979,-0.9999999999999964,-0.09999999999999998,7.600000000000023,9.800000000000011,-2.1999999999999993,-0.006682161533991863
2011Montenegro,11.2,375.3,1.3,93.0,2011,Montenegro,468.3,12.5,480.8,94.3,386.5,0.1961314475873544,0.1985906470211403,0.10400000000000001,480.8,468.3,12.5,94.3,93.0,1.3,386.5,375.3,11.2,0
2011Netherlands,571.3,15609.2,66.0,776.5999999999999,2011,Netherlands,16385.8,637.3,17023.1,842.5999999999999,16180.5,0.049497447585927355,0.04739469540699874,0.1035619017731053,-26.799999999999272,-51.29999999999927,24.499999999999886,-13.600000000000023,-16.0,2.3999999999999986,-13.199999999998909,-35.29999999999745,22.09999999999991,0.0014369585745370875
2011North Macedonia,0.0,1277.0,0.0,588.6,2011,North Macedonia,1865.6,0.0,1865.6,588.6,1277.0,0.31550171526586623,0.31550171526586623,,7.199999999999818,7.199999999999818,0.0,-10.399999999999977,-10.399999999999977,0.0,17.59999999999991,17.59999999999991,0.0,0.0
2011Norway,323.0,4597.200000000001,26.599999999999998,140.8,2011,Norway,4738.000000000001,349.6,5087.600000000001,167.4,4920.200000000001,0.03290353015174148,0.02971718024482904,0.07608695652173912,44.800000000002,-7.599999999998545,52.400000000000034,-13.599999999999994,-14.399999999999977,0.8000000000000007,58.400000000001455,6.800000000001091,51.60000000000002,0.010391052589831055
2011Poland,48.199999999999996,30577.0,0.0,3304.8,2011,Poland,33881.8,48.199999999999996,33930.0,3304.8,30625.2,0.09740053050397879,0.09753909178378953,0.0,180.90000000000146,178.3000000000029,2.6000000000000014,21.0,21.0,0.0,159.90000000000146,157.29999999999927,2.6000000000000014,7.703909141280809e-05
2011Portugal,301.6,8604.8,86.60000000000001,1284.0,2011,Portugal,9888.8,388.20000000000005,10277.0,1370.6,8906.4,0.13336576822029775,0.12984386376506757,0.22308088614116434,-55.20000000000073,34.49999999999818,-89.69999999999993,191.5999999999999,195.29999999999995,-3.6999999999999886,-246.8000000000011,-160.8000000000011,-85.99999999999994,-0.008681597336482058
