,index,4ocean-above_tfidf,4ocean-below_tfidf,4ocean-ratio_tfidf,5gyres-above_tfidf,5gyres-below_tfidf,5gyres-ratio_tfidf,aplastic_planet-above_tfidf,aplastic_planet-below_tfidf,aplastic_planet-ratio_tfidf,DebrisTracker-above_tfidf,DebrisTracker-below_tfidf,DebrisTracker-ratio_tfidf,globalalert-above_tfidf,globalalert-below_tfidf,globalalert-ratio_tfidf,JackieSavitz-above_tfidf,JackieSavitz-below_tfidf,JackieSavitz-ratio_tfidf,LifeWoutPlastic-above_tfidf,LifeWoutPlastic-below_tfidf,LifeWoutPlastic-ratio_tfidf,merijntinga-above_tfidf,merijntinga-below_tfidf,merijntinga-ratio_tfidf,MissionBlue-above_tfidf,MissionBlue-below_tfidf,MissionBlue-ratio_tfidf,NewPlasticsEcon-above_tfidf,NewPlasticsEcon-below_tfidf,NewPlasticsEcon-ratio_tfidf,oceana-above_tfidf,oceana-below_tfidf,oceana-ratio_tfidf,oceanfdn-above_tfidf,oceanfdn-below_tfidf,oceanfdn-ratio_tfidf,oceanunite-above_tfidf,oceanunite-below_tfidf,oceanunite-ratio_tfidf,Oceanwarrior-above_tfidf,Oceanwarrior-below_tfidf,Oceanwarrior-ratio_tfidf,OurOcean-above_tfidf,OurOcean-below_tfidf,OurOcean-ratio_tfidf,PlasticBank-above_tfidf,PlasticBank-below_tfidf,PlasticBank-ratio_tfidf,PlasticFreeJuly-above_tfidf,PlasticFreeJuly-below_tfidf,PlasticFreeJuly-ratio_tfidf,PlasticOceans-above_tfidf,PlasticOceans-below_tfidf,PlasticOceans-ratio_tfidf,PlasticOceansUS-above_tfidf,PlasticOceansUS-below_tfidf,PlasticOceansUS-ratio_tfidf,plasticpdise-above_tfidf,plasticpdise-below_tfidf,plasticpdise-ratio_tfidf,PlasticPollutes-above_tfidf,PlasticPollutes-below_tfidf,PlasticPollutes-ratio_tfidf,PlasticsBeyond-above_tfidf,PlasticsBeyond-below_tfidf,PlasticsBeyond-ratio_tfidf,plasticsoupfoun-above_tfidf,plasticsoupfoun-below_tfidf,plasticsoupfoun-ratio_tfidf,RethinkPlastic-above_tfidf,RethinkPlastic-below_tfidf,RethinkPlastic-ratio_tfidf,sascampaigns-above_tfidf,sascampaigns-below_tfidf,sascampaigns-ratio_tfidf,SylviaEarle-above_tfidf,SylviaEarle-below_tfidf,SylviaEarle-ratio_tfidf,TBPInnovate-above_tfidf,TBPInnovate-below_tfidf,TBPInnovate-ratio_tfidf,TheOceanCleanup-above_tfidf,TheOceanCleanup-below_tfidf,TheOceanCleanup-ratio_tfidf,ThePlasticWhale-above_tfidf,ThePlasticWhale-below_tfidf,ThePlasticWhale-ratio_tfidf,ALL-above_tfidf,ALL-below_tfidf,ALL-ratio_tfidf
2597,2597,0.0,0.0,0.0,0.0,37.74570999005715,0.0,0.0,14.764870912223548,0.0,0.0,14.750511556019509,0.0,8.066207568006265,0.0,10.0,0.0,26.772055323728285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.756142718819836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.94245771738429,0.0,0.0,14.771082097339855,0.0,8.072779333169498,0.0,10.0,0.0,0.0,0.0,0.0,8.076826031298808,0.0,0.0,0.0,0.0,0.0,20.933709116652658,0.0,0.0,0.0,0.0,0.0,29.320995980310528,0.0,0.0,8.071843149609158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.654483323015295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.332654613053657,291.3204376480195,0.05263157894736842
2598,2598,0.0,136.66632628238222,0.0,0.0,48.02615674046196,0.0,0.0,8.07558263667172,0.0,7.757496433086548,248.23988585876953,0.03125,14.746120774892637,0.0,10.0,0.0,20.942087710151554,0.0,0.0,7.993619994827744,0.0,7.736743682453495,0.0,10.0,0.0,201.60084139497465,0.0,0.0,7.634820677745543,0.0,0.0,8.076515327552329,0.0,0.0,8.080546965824498,0.0,0.0,37.721572560010905,0.0,0.0,8.072779333169498,0.0,0.0,37.74200285370196,0.0,0.0,26.76212668071567,0.0,7.248859627929911,7.248859627929911,1.0,0.0,0.0,0.0,12.740823720547873,182.61847332785285,0.06976744186046512,0.0,13.560979855872521,0.0,0.0,32.31202618587529,0.0,0.0,20.93650458198927,0.0,0.0,62.51597555419768,0.0,0.0,0.0,0.0,0.0,71.59773415461204,0.0,0.0,14.580585764893193,0.0,0.0,0.0,0.0,24.95129520439791,163.9656542003291,0.15217391304347827,0.0,26.781959383260443,0.0,89.39017223755188,1698.4132725134857,0.05263157894736842
2599,2599,0.0,14.77356118039666,0.0,6.69641677311769,20.08925031935307,0.3333333333333333,6.689288275551829,20.067864826655487,0.3333333333333333,6.458965046135599,25.835860184542398,0.25,0.0,0.0,0.0,12.575097445647813,25.150194891295627,0.5,0.0,20.685023118478902,0.0,0.0,7.736743682453495,0.0,0.0,97.40881165526503,0.0,0.0,7.634820677745543,0.0,0.0,47.97659028697994,0.0,0.0,67.14768379243797,0.0,5.188316471333708,88.20138001267304,0.058823529411764705,6.974167044501389,13.948334089002778,0.5,0.0,37.74200285370196,0.0,0.0,0.0,0.0,0.0,82.71068938000121,0.0,0.0,8.076515327552329,0.0,0.0,47.96912875993507,0.0,0.0,13.560979855872521,0.0,0.0,20.919692582823146,0.0,0.0,14.768599937542508,0.0,0.0,20.94766046717197,0.0,0.0,13.848241266136803,0.0,0.0,14.75864037758965,0.0,0.0,37.15008356267093,0.0,0.0,0.0,0.0,0.0,19.308451105108283,0.0,0.0,0.0,0.0,44.89495036622022,853.0040569581843,0.05263157894736842
2600,2600,0.0,0.0,0.0,0.0,8.08271113423758,0.0,0.0,8.07558263667172,0.0,8.068402958569699,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.58057191148131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.759264305219105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.111424894739933,13.111424894739933,1.0,0.0,20.933709116652658,0.0,0.0,0.0,0.0,4.583265350600041,77.9155109602007,0.058823529411764705,0.0,84.78807083791003,0.0,11.185080999086397,55.92540499543198,0.2,0.0,192.35264795798008,0.0,16.613478815845532,27.689131359742554,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.635944782415415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.41038756437445,1058.9540734524896,0.05232558139534883
2601,2601,0.0,0.0,0.0,0.0,8.08271113423758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.079308192051961,0.0,0.0,7.993619994827744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.686789039643495,6.843394519821747,2.0,0.0,0.0,0.0,8.07558263667172,0.0,10.0,0.0,0.0,0.0,0.0,42.881531003876916,0.0,30.295901665462463,246.1542010318825,0.12307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.457298019138216,527.0357088803579,0.02173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,89.2904834415417,1707.680495819485,0.0522875816993464
2602,2602,7.52487931444393,274.65809497720346,0.0273972602739726,3.640059877747264,305.7650297307702,0.011904761904761904,0.0,113.6220336770791,0.0,42.500813730966065,216.36777899400906,0.19642857142857142,26.71965282754549,0.0,10.0,24.431850040916945,199.52677533415505,0.12244897959183673,0.0,236.84751396992039,0.0,28.75382821972233,62.29996114273172,0.4615384615384615,8.239949642776871,205.99874106942178,0.04,10.664471169502995,42.65788467801198,0.25,0.0,105.67185068640701,0.0,0.0,527.2724623116543,0.0,0.0,195.5021543060758,0.0,11.540388480350906,46.16155392140362,0.25,0.0,319.81766485171556,0.0,14.984370764049908,269.7186737528983,0.05555555555555556,28.94741023103676,157.1430841113424,0.18421052631578946,11.615468124484087,247.7966533223272,0.046875,9.423326110623083,427.19078368157983,0.022058823529411763,43.50453540486449,163.97863344910462,0.2653061224489796,0.0,405.44117653835707,0.0,22.610495439208925,135.66297263525357,0.16666666666666666,4.149340145001108,207.4670072500554,0.02,22.998469078260513,145.65697082898325,0.15789473684210525,0.0,256.26563340367073,0.0,0.0,250.3898311846877,0.0,12.674053780066924,130.96522239402486,0.09677419354838711,13.320280150586285,209.79441237173398,0.06349206349206349,4.092800160370727,216.91840849964854,0.018867924528301886,335.243021750581,6416.39550931926,0.05224787363304982
2603,2603,4.5245797092688615,153.8357101151413,0.029411764705882353,0.0,57.80126041243535,0.0,22.710749455493396,39.743811547113445,0.5714285714285714,5.295814236329918,79.43721354494878,0.06666666666666667,19.37030896671649,12.913539311144326,1.5,6.693013830932071,20.079041492796215,0.3333333333333333,0.0,31.92091041196822,0.0,0.0,7.736743682453495,0.0,0.0,220.44066264390182,0.0,6.248526316625653,18.745578949876958,0.33333333333333337,0.0,97.50945061933187,0.0,0.0,48.0088433931573,0.0,4.612952326430146,143.00152211933454,0.03225806451612903,18.84305959182433,18.84305959182433,1.0,0.0,236.26879422208714,0.0,0.0,26.76212668071567,0.0,0.0,7.9420068084898565,0.0,0.0,172.10519357548458,0.0,7.382435456111774,7.382435456111774,1.0,5.681877639268151,28.409388196340757,0.2,0.0,84.78807083791003,0.0,0.0,47.984044861210904,0.0,0.0,42.94678940069083,0.0,0.0,7.617267813628347,0.0,13.1507637457225,162.19275286391084,0.08108108108108109,0.0,70.44037917208507,0.0,5.805134968916488,34.83080981349893,0.16666666666666666,0.0,34.4580191268569,0.0,0.0,26.781959383260443,0.0,111.46452621348422,2133.7495018009836,0.05223880597014925
2604,2604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.066207568006265,0.0,27.177415719421937,339.7176964927742,0.08,0.0,7.993619994827744,0.0,0.0,0.0,0.0,0.0,26.73969671539989,0.0,0.0,0.0,0.0,0.0,306.23867641155726,0.0,0.0,113.73621324759303,0.0,11.243864666830625,273.6007068928786,0.041095890410958895,34.560995820682436,78.99656187584557,0.4375,0.0,192.3943854783628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.757391938098426,0.0,8.0774471493312,0.0,10.0,0.0,8.081165777725433,0.0,0.0,0.0,0.0,0.0,8.07246736935477,0.0,0.0,65.9824009586225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081784206935001,0.0,102.73626365774226,1968.2105248114833,0.05219780219780219
2605,2605,0.0,14.77356118039666,0.0,0.0,37.74570999005715,0.0,0.0,8.07558263667172,0.0,0.0,0.0,0.0,0.0,8.066207568006265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.67675442445085,0.0,0.0,7.634820677745543,0.0,0.0,26.760883865729753,0.0,0.0,48.0088433931573,0.0,0.0,20.94022782168529,0.0,0.0,0.0,0.0,0.0,26.783195668233965,0.0,0.0,26.76212668071567,0.0,0.0,7.9420068084898565,0.0,0.0,8.076515327552329,0.0,4.856706811803519,116.56096348328444,0.04166666666666667,0.0,19.12507445948429,0.0,0.0,14.757391938098426,0.0,13.957669721326178,6.978834860663089,2.0,0.0,14.776037194330975,0.0,0.0,0.0,0.0,0.0,8.07246736935477,0.0,0.0,7.983440063006542,0.0,0.0,0.0,0.0,6.841615476477592,6.841615476477592,1.0,0.0,0.0,0.0,27.843030423873305,535.9783356595611,0.051948051948051945
2606,2606,0.0,0.0,0.0,0.0,32.3663661090174,0.0,6.466144724237619,25.864578896950476,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.386161011492017,7.386161011492017,1.0,0.0,20.685023118478902,0.0,0.0,7.736743682453495,0.0,0.0,14.756142718819836,0.0,0.0,13.883346994371195,0.0,0.0,0.0,0.0,0.0,8.080546965824498,0.0,0.0,71.67860533298837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.767357701477726,0.0,7.248859627929911,7.248859627929911,1.0,0.0,14.766736293984767,0.0,0.0,0.0,0.0,0.0,7.473637108496206,0.0,0.0,26.74219515395707,0.0,0.0,0.0,0.0,0.0,67.1551095352492,0.0,0.0,13.848241266136803,0.0,0.0,32.31514728460335,0.0,0.0,65.9824009586225,0.0,0.0,7.751045117971802,0.0,6.841615476477592,6.841615476477592,1.0,0.0,14.777274052750112,0.0,27.843030423873305,535.9783356595611,0.051948051948051945
2607,2607,0.0,132.936251296326,0.0,0.0,117.71177529335122,0.0,0.0,67.08811184260463,0.0,0.0,93.20456161212363,0.0,18.82334429633463,18.82334429633463,1.0,12.575097445647813,25.150194891295627,0.5,0.0,56.91034901833699,0.0,0.0,7.736743682453495,0.0,0.0,128.93530519706943,0.0,0.0,48.93836490368391,0.0,0.0,47.97659028697994,0.0,0.0,129.18717269514457,0.0,0.0,47.993973500400294,0.0,15.385021062009173,82.05344566404892,0.1875,0.0,113.77177843173234,0.0,4.439239871572423,164.25187524817966,0.027027027027027025,10.914200317403713,54.571001587018564,0.2,5.243301983496113,83.8928317359378,0.0625,11.481262183867083,256.41485543969816,0.04477611940298508,5.681877639268151,28.409388196340757,0.2,0.0,47.93921286343458,0.0,11.996011215302726,35.988033645908175,0.33333333333333337,0.0,42.94678940069083,0.0,0.0,7.617267813628347,0.0,0.0,93.27772100625491,0.0,0.0,87.55385422215554,0.0,0.0,30.708036027688507,0.0,21.012790734311668,96.65883737783368,0.21739130434782608,0.0,32.3617314725045,0.0,119.85348590984773,2308.482359046198,0.05191873589164785
2608,2608,0.0,20.943946446270495,0.0,0.0,84.96195859196479,0.0,0.0,80.51298653354264,0.0,0.0,20.909372009704768,0.0,0.0,0.0,0.0,5.999866650372126,41.99906655260488,0.14285714285714285,0.0,47.313427625183266,0.0,7.736743682453495,0.0,10.0,0.0,0.0,0.0,0.0,7.634820677745543,0.0,0.0,37.70853514994564,0.0,0.0,20.945804031469166,0.0,0.0,8.078688229229872,0.0,0.0,20.922501133504166,0.0,0.0,14.777892195236873,0.0,0.0,0.0,0.0,6.150247339261802,30.75123669630901,0.19999999999999998,0.0,32.33538707559114,0.0,4.032531368837169,225.82175665488148,0.017857142857142856,0.0,0.0,0.0,0.0,67.0432379978539,0.0,27.56248895934831,44.099982334957296,0.625,0.0,80.59673364934835,0.0,4.481773597699197,98.59901914938234,0.045454545454545456,0.0,57.69882276360725,0.0,0.0,7.983440063006542,0.0,0.0,40.635944782415415,0.0,0.0,19.308451105108283,0.0,8.081784206935001,0.0,10.0,65.4283848809871,1260.983417706297,0.051886792452830184
2609,2609,0.0,233.1301160922876,0.0,0.0,42.95760689627587,0.0,0.0,20.93091104401083,0.0,0.0,0.0,0.0,7.373060387446318,7.373060387446318,1.0,0.0,14.772322022984033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.071218539969863,0.0,0.0,0.0,0.0,0.0,8.076515327552329,0.0,0.0,14.774799570529106,0.0,0.0,0.0,0.0,0.0,8.072779333169498,0.0,0.0,8.082093278178382,0.0,0.0,0.0,0.0,12.665137792111514,18.99770668816727,0.6666666666666667,0.0,20.933709116652658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.462405237175058,25.84962094870023,0.25,13.319582968814437,155.39513463616845,0.0857142857142857,0.0,32.35863932645666,0.0,0.0,13.848241266136803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4580191268569,0.0,0.0,0.0,0.0,44.79565792127653,863.916259910333,0.05185185185185186
