dep,date,month,tx_incid
01,2021-02-01,2021-02,246.44001491730802
01,2021-02-02,2021-02,241.87349209611
01,2021-02-03,2021-02,249.94101574689302
01,2021-02-04,2021-02,253.89866885859797
01,2021-02-05,2021-02,249.78879831952003
01,2021-02-06,2021-02,243.547883797216
01,2021-02-07,2021-02,242.634579232976
01,2021-02-08,2021-02,224.064053093439
01,2021-02-09,2021-02,224.064053093439
01,2021-02-10,2021-02,215.69209458790903
01,2021-02-11,2021-02,206.711266372887
01,2021-02-12,2021-02,200.013699568464
01,2021-02-13,2021-02,199.86148214108997
01,2021-02-14,2021-02,200.013699568464
01,2021-02-15,2021-02,202.144743551689
01,2021-02-16,2021-02,193.77278504616
01,2021-02-17,2021-02,188.140740233349
01,2021-02-18,2021-02,191.337306208188
01,2021-02-19,2021-02,190.880653926068
01,2021-02-20,2021-02,191.94617591768102
01,2021-02-21,2021-02,193.31613276404
01,2021-02-22,2021-02,200.165916995837
01,2021-02-23,2021-02,202.449178406436
01,2021-02-24,2021-02,209.90783234772599
01,2021-02-25,2021-02,206.10239666339402
01,2021-02-26,2021-02,209.146745210859
01,2021-02-27,2021-02,208.84231035611302
01,2021-02-28,2021-02,206.711266372887
01,2021-03-01,2021-03,196.056046456759
01,2021-03-02,2021-03,189.054044797589
01,2021-03-03,2021-03,179.00769459095403
01,2021-03-04,2021-03,173.68008463289
01,2021-03-05,2021-03,169.417996666438
01,2021-03-06,2021-03,169.11356181169202
01,2021-03-07,2021-03,169.570214093812
01,2021-03-08,2021-03,170.635736085424
01,2021-03-09,2021-03,178.094390026714
01,2021-03-10,2021-03,179.616564300447
01,2021-03-11,2021-03,187.68408795123
01,2021-03-12,2021-03,197.273785875745
01,2021-03-13,2021-03,200.92700413270302
01,2021-03-14,2021-03,202.60139583380902
01,2021-03-15,2021-03,213.86548545943
01,2021-03-16,2021-03,228.478358487263
01,2021-03-17,2021-03,237.00253442016603
01,2021-03-18,2021-03,247.20110205417402
01,2021-03-19,2021-03,254.203103713344
01,2021-03-20,2021-03,259.835148526155
01,2021-03-21,2021-03,260.444018235648
01,2021-03-22,2021-03,272.316977570762
01,2021-03-23,2021-03,274.90467383610803
01,2021-03-24,2021-03,293.475199975645
01,2021-03-25,2021-03,307.783638148732
01,2021-03-26,2021-03,327.267468852509
01,2021-03-27,2021-03,335.182775075918
01,2021-03-28,2021-03,335.487209930665
01,2021-03-29,2021-03,354.057736070203
01,2021-03-30,2021-03,370.953870508635
01,2021-03-31,2021-03,380.695785860523
01,2021-04-01,2021-04,397.896355153702
01,2021-04-02,2021-04,401.09292112853996
01,2021-04-03,2021-04,403.22396511176595
01,2021-04-04,2021-04,404.289487103378
01,2021-04-05,2021-04,328.941860553615
01,2021-04-06,2021-04,349.64343067637805
01,2021-04-07,2021-04,
01,2021-04-08,2021-04,
01,2021-04-09,2021-04,
02,2020-08-02,2020-08,3.23163197414694
02,2020-08-03,2020-08,4.942495960460031
02,2020-08-04,2020-08,4.942495960460031
02,2020-08-05,2020-08,5.3226879574185
02,2020-08-06,2020-08,5.5127839558977305
02,2020-08-07,2020-08,6.273167949814661
02,2020-08-08,2020-08,5.3226879574185
02,2020-08-09,2020-08,5.5127839558977305
02,2020-08-10,2020-08,4.56230396350157
02,2020-08-11,2020-08,5.5127839558977305
02,2020-08-12,2020-08,6.08307195133542
02,2020-08-13,2020-08,6.273167949814661
02,2020-08-14,2020-08,5.132591958939259
02,2020-08-15,2020-08,5.132591958939259
02,2020-08-16,2020-08,5.132591958939259
02,2020-08-17,2020-08,4.7523999619808
02,2020-08-18,2020-08,4.7523999619808
02,2020-08-19,2020-08,6.08307195133542
02,2020-08-20,2020-08,7.793935937648509
02,2020-08-21,2020-08,10.2651839178785
02,2020-08-22,2020-08,12.926527896587801
02,2020-08-23,2020-08,12.926527896587801
02,2020-08-24,2020-08,13.3067198935462
02,2020-08-25,2020-08,13.496815892025499
02,2020-08-26,2020-08,15.7779678737763
02,2020-08-27,2020-08,16.5383518676932
02,2020-08-28,2020-08,18.819503849444
02,2020-08-29,2020-08,17.678927858568603
02,2020-08-30,2020-08,17.4888318600893
02,2020-08-31,2020-08,19.9600798403194
02,2020-09-01,2020-09,23.5719038114248
02,2020-09-02,2020-09,21.8610398251117
02,2020-09-03,2020-09,21.8610398251117
02,2020-09-04,2020-09,21.290751829674
02,2020-09-05,2020-09,21.6709438266324
02,2020-09-06,2020-09,22.2412318220701
02,2020-09-07,2020-09,23.1917118144663
02,2020-09-08,2020-09,22.4313278205494
02,2020-09-09,2020-09,24.9025758007794
02,2020-09-10,2020-09,28.894591768843302
02,2020-09-11,2020-09,33.837087729303306
02,2020-09-12,2020-09,36.4984317080125
02,2020-09-13,2020-09,37.068719703450206
02,2020-09-14,2020-09,40.6805436745557
02,2020-09-15,2020-09,42.7715996578272
02,2020-09-16,2020-09,47.1438076228495
02,2020-09-17,2020-09,49.8051516015588
02,2020-09-18,2020-09,47.7140956182872
02,2020-09-19,2020-09,48.2843836137249
02,2020-09-20,2020-09,47.1438076228495
02,2020-09-21,2020-09,46.763615625891106
02,2020-09-22,2020-09,47.904191616766504
02,2020-09-23,2020-09,45.242847638057206
02,2020-09-24,2020-09,45.242847638057206
02,2020-09-25,2020-09,45.242847638057206
02,2020-09-26,2020-09,47.1438076228495
02,2020-09-27,2020-09,48.4744796122042
02,2020-09-28,2020-09,47.1438076228495
02,2020-09-29,2020-09,46.763615625891106
02,2020-09-30,2020-09,46.3834236289326
02,2020-10-01,2020-10,49.8051516015588
02,2020-10-02,2020-10,53.226879574185
02,2020-10-03,2020-10,51.89620758483029
02,2020-10-04,2020-10,51.135823590913404
02,2020-10-05,2020-10,58.3594715331242
02,2020-10-06,2020-10,69.9553274403574
02,2020-10-07,2020-10,78.5096473719228
02,2020-10-08,2020-10,86.49367930805059
02,2020-10-09,2020-10,95.23809523809521
02,2020-10-10,2020-10,103.032031175744
02,2020-10-11,2020-10,103.222127174223
02,2020-10-12,2020-10,113.677407090581
02,2020-10-13,2020-10,126.603934987169
02,2020-10-14,2020-10,135.348350917213
02,2020-10-15,2020-10,150.365934797073
