,dep,date,month,tx_incid
7734,21,2021-03-15,2021-03,139.804761243493
7910,22,2020-08-15,2020-08,4.696520884421981
7941,22,2020-09-15,2020-09,26.837262196697
7971,22,2020-10-15,2020-10,100.807466126343
8002,22,2020-11-15,2020-11,137.708701646802
8032,22,2020-12-15,2020-12,49.4812021751601
8063,22,2021-01-15,2021-01,59.209709721462794
8094,22,2021-02-15,2021-02,61.0547714974857
8122,22,2021-03-15,2021-03,158.675312737971
8298,23,2020-08-15,2020-08,23.221811301281498
8329,23,2020-09-15,2020-09,14.621140448955
8359,23,2020-10-15,2020-10,116.96912359164
8390,23,2020-11-15,2020-11,291.562741893868
8420,23,2020-12-15,2020-12,53.3241592844242
8451,23,2021-01-15,2021-01,136.750666551991
8482,23,2021-02-15,2021-02,107.508385654081
8510,23,2021-03-15,2021-03,48.1637567730283
8686,24,2020-08-15,2020-08,2.69348397254605
8717,24,2020-09-15,2020-09,43.3406057400592
8747,24,2020-10-15,2020-10,86.1914871214737
8778,24,2020-11-15,2020-11,163.32307360802
8808,24,2020-12-15,2020-12,47.7481249678618
8839,24,2021-01-15,2021-01,139.57144221375
8870,24,2021-02-15,2021-02,171.158663346336
8898,24,2021-03-15,2021-03,139.081717855105
9074,25,2020-08-15,2020-08,12.605454825201301
9105,25,2020-09-15,2020-09,57.466044056064604
9135,25,2020-10-15,2020-10,139.77224909120199
9166,25,2020-11-15,2020-11,477.153540001001
9196,25,2020-12-15,2020-12,278.98837517541
9227,25,2021-01-15,2021-01,253.03596818234902
9258,25,2021-02-15,2021-02,166.28077909125798
9286,25,2021-03-15,2021-03,289.5547123083
9462,26,2020-08-15,2020-08,9.02873828185031
9493,26,2020-09-15,2020-09,40.9174734900876
9523,26,2020-10-15,2020-10,225.142154602736
9554,26,2020-11-15,2020-11,355.002305209774
9584,26,2020-12-15,2020-12,174.619640387275
9615,26,2021-01-15,2021-01,253.95727677885398
9646,26,2021-02-15,2021-02,225.334255417243
9674,26,2021-03-15,2021-03,212.463500845244
9850,27,2020-08-15,2020-08,9.65561099208073
9881,27,2020-09-15,2020-09,71.7511782342551
9911,27,2020-10-15,2020-10,151.65968299630302
9942,27,2020-11-15,2020-11,220.247816250393
9972,27,2020-12-15,2020-12,83.23802579379941
10003,27,2021-01-15,2021-01,109.70771799622801
10034,27,2021-02-15,2021-02,158.984629266157
10062,27,2021-03-15,2021-03,321.964683770416
