,job.creationDate,month,title,place.city,place.zipCode,Dpt,company.name
33,2021-03-09T14:58:53.000Z,2021-03,Chargé(e) de projet communication en ALTERNANCE (H/F),75 - PARIS 14,75014,75,PFIZER
34,2021-04-08T15:51:38.000Z,2021-04,Alternant Chargé de Communication Data H/F (H/F),92 - BOULOGNE BILLANCOURT,92100,92,
35,2021-03-26T03:55:06.000Z,2021-03,Chargé / Chargée de communication (H/F),92 - ISSY LES MOULINEAUX,92130,92,
36,2021-03-26T03:51:37.000Z,2021-03,Chargé / Chargée de communication (H/F),92 - ISSY LES MOULINEAUX,92130,92,
37,2021-03-25T08:48:03.000Z,2021-03,Chargé / Chargée de communication (H/F),92 - ISSY LES MOULINEAUX,92130,92,
38,2021-03-26T04:07:24.000Z,2021-03,Chargé / Chargée de communication (H/F),92 - ISSY LES MOULINEAUX,92130,92,
39,2021-04-07T09:50:26.000Z,2021-04,Coiffeur / Coiffeuse mixte (H/F),77 - BUSSY ST GEORGES,77600,77,ELIXIA
40,2021-03-22T15:53:49.000Z,2021-03,Chargé / Chargée de communication (H/F),77 - CROISSY BEAUBOURG,77183,77,
41,2021-03-23T10:31:39.000Z,2021-03,Chargé / Chargée de communication (H/F),94 - ARCUEIL,94110,94,ETAT-MAJOR DU SERVICE MILITAIRE VOLONTAIRE
42,2021-03-18T09:55:08.000Z,2021-03,Chargé / Chargée de communication (H/F),94 - ARCUEIL,94110,94,
43,2021-03-26T11:04:30.000Z,2021-03,UN ALTERNANT- CHARGE DE COMMUNICATION  (H/F),94 - VITRY SUR SEINE,94400,94,SANOFI-AVENTIS GROUPE
44,2021-01-05T15:36:46.000Z,2021-01,Assistant coiffeur / Assistante coiffeuse     (H/F),94 - CHOISY LE ROI,94600,94,HAIR PRESTIGE
45,2021-04-08T11:30:58.000Z,2021-04,Communication évènementiels en ALTERNANCE (H/F),75 - PARIS 14,75014,75,APEC 14
46,2021-04-09T04:03:43.000Z,2021-04,Chef de projet évènementiel (H/F),91 - PALAISEAU,91120,91,
47,2021-03-17T14:45:48.000Z,2021-03,Magasinier / Magasinière cariste,95 - MARLY LA VILLE,95670,95,
