indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
MIO_BAL_VAL,TOTAL,EU28,BG	-5047.1 	-2490.3 	-1740.8 	-1237.6 	-2723.0 	-2072.6 	-2347.5 	-2100.3 	-1447.8 	-1667.4 	-1128.6 	-1208.5 
MIO_BAL_VAL,TOTAL,EU28,CY	-4153.0 	-3470.1 	-3852.8 	-3427.1 	-3107.5 	-2469.4 	-2640.4 	-2717.9 	-3381.4 	-3837.1 	-4026.5 	-3999.9 
MIO_BAL_VAL,TOTAL,EU28,CZ	10880.0 	10104.0 	12976.0 	16003.9 	16386.6 	15661.5 	18437.5 	20050.8 	21099.2 	22477.7 	24759.5 	27667.6 
MIO_BAL_VAL,TOTAL,EU28,DE	112062.6 	73457.2 	69347.9 	57473.8 	48353.6 	43549.6 	53779.8 	71186.6 	73424.0 	67735.8 	56201.3 	41704.7 
MIO_BAL_VAL,TOTAL,EU28,DK	2319.7 	3920.4 	4007.8 	4106.8 	2916.5 	1700.7 	1357.3 	-829.2 	-1997.3 	-1292.8 	-3900.1 	-3258.8 
MIO_BAL_VAL,TOTAL,EU28,EE	-2758.8 	-1332.8 	-1397.9 	-1626.9 	-2686.9 	-2690.0 	-2528.6 	-1990.6 	-2251.3 	-2723.0 	-2613.5 	-2417.4 
MIO_BAL_VAL,TOTAL,EU28,EL	-23800.5 	-20117.4 	-15811.6 	-12562.6 	-10589.0 	-9349.1 	-10205.4 	-9064.4 	-9822.6 	-10683.6 	-10730.4 	-10629.0 
MIO_BAL_VAL,TOTAL,EU28,ES	-36211.0 	-17109.5 	-13625.9 	-7092.1 	3946.7 	8821.3 	956.0 	-5193.1 	1163.4 	1541.8 	687.9 	4257.0 
MIO_BAL_VAL,TOTAL,EU28,EU28	74176.7 	65796.7 	70557.1 	66906.6 	67643.8 	67077.3 	74248.0 	73526.8 	69864.4 	68005.6 	71407.7 	73090.0 
MIO_BAL_VAL,TOTAL,EU28,FI	-1996.6 	-3303.2 	-4781.4 	-5509.7 	-6853.8 	-7725.4 	-7275.4 	-7965.7 	-9495.3 	-8932.5 	-8832.2 	-8320.3 
MIO_BAL_VAL,TOTAL,EU28,FR	-64372.6 	-63129.8 	-74655.5 	-87161.4 	-91096.7 	-88976.5 	-84486.1 	-86930.3 	-89498.1 	-102884.7 	-101768.8 	-101733.3 
MIO_BAL_VAL,TOTAL,EU28,HR	-7507.1 	-4995.5 	-3670.4 	-4329.5 	-4531.9 	-5190.6 	-6453.4 	-6740.5 	-7042.3 	-7993.7 	-8555.9 	-9386.7 
MIO_BAL_VAL,TOTAL,EU28,HU	8061.5 	9286.3 	11217.7 	11123.7 	10026.4 	8943.4 	7235.5 	8719.4 	9054.4 	9445.6 	9931.7 	11581.2 
MIO_BAL_VAL,TOTAL,EU28,IE	13826.2 	21432.6 	19717.0 	18364.4 	19388.4 	13060.7 	8721.2 	13068.7 	11216.0 	7999.6 	11645.4 	13610.5 
MIO_BAL_VAL,TOTAL,EU28,IT	10171.6 	-1911.6 	-7347.7 	-4310.1 	9062.1 	9660.8 	14933.6 	8584.9 	10075.9 	8722.6 	12362.2 	15329.9 
MIO_BAL_VAL,TOTAL,EU28,LT	-2471.2 	-165.4 	-439.8 	-583.6 	-415.9 	-2196.3 	-3623.8 	-3150.1 	-3856.3 	-4734.6 	-4685.1 	-4469.7 
MIO_BAL_VAL,TOTAL,EU28,LU	-871.8 	389.5 	-3236.3 	-4886.3 	-4764.1 	-4623.7 	-4207.4 	-2193.2 	-3511.1 	-5087.1 	-6203.8 	-5762.9 
MIO_BAL_VAL,TOTAL,EU28,LV	-3560.9 	-1574.1 	-1874.8 	-2860.3 	-3500.5 	-3525.6 	-3249.2 	-2819.9 	-2712.2 	-3490.6 	-3349.9 	-3718.8 
MIO_BAL_VAL,TOTAL,EU28,MT	-1799.0 	-1587.7 	-1565.0 	-2041.2 	-2664.9 	-2044.8 	-2113.8 	-2554.3 	-2008.3 	-1878.4 	-2632.5 	-3154.5 
MIO_BAL_VAL,TOTAL,EU28,NL	152805.9 	120832.8 	153407.5 	170254.2 	178764.7 	176944.8 	180874.3 	177951.7 	180231.6 	200521.1 	207453.0 	208297.5 
MIO_BAL_VAL,TOTAL,EU28,PL	-11571.3 	343.9 	442.3 	79.3 	5036.0 	7933.3 	11023.6 	17125.0 	16258.6 	17534.9 	20377.0 	27405.5 
MIO_BAL_VAL,TOTAL,EU28,PT	-19085.9 	-16478.6 	-16687.2 	-11790.8 	-8168.1 	-7790.6 	-10097.8 	-10115.0 	-10226.4 	-12403.0 	-13234.0 	-15376.4 
MIO_BAL_VAL,TOTAL,EU28,RO	-16032.5 	-6844.7 	-6916.6 	-7734.6 	-8535.3 	-7408.1 	-6809.1 	-8340.5 	-8870.5 	-9797.3 	-9892.7 	-11564.8 
MIO_BAL_VAL,TOTAL,EU28,SE	-4239.0 	-3595.1 	-6975.2 	-11364.6 	-9754.5 	-10486.7 	-11538.7 	-13530.6 	-16142.9 	-17590.0 	-17557.1 	-16599.0 
MIO_BAL_VAL,TOTAL,EU28,SI	-1265.4 	42.8 	611.5 	831.7 	816.7 	1566.4 	2722.9 	3056.8 	2840.6 	3608.4 	4457.6 	4638.0 
MIO_BAL_VAL,TOTAL,EU28,SK	4735.9 	4770.4 	5786.5 	6452.6 	8318.9 	7739.4 	7787.5 	6154.1 	5364.6 	5273.9 	4864.4 	2898.6 
MIO_BAL_VAL,TOTAL,EU28,UK	-51170.1 	-44077.8 	-52658.9 	-52872.8 	-72657.9 	-80329.7 	-93331.8 	-118575.8 	-114993.3 	-109153.2 	-107402.9 	-110476.2 
MIO_EXP_VAL,TOTAL,EU28,AT	90590.0 	71526.1 	83149.1 	90943.7 	90844.2 	92433.0 	93774.3 	96519.4 	97073.2 	105903.6 	111673.1 	113193.9 
MIO_EXP_VAL,TOTAL,EU28,BE	246843.8 	201278.8 	224596.3 	246042.0 	243051.1 	247572.4 	250596.4 	256514.2 	259147.7 	275332.6 	289411.7 	287732.3 
MIO_EXP_VAL,TOTAL,EU28,BG	9245.0 	7664.3 	9551.3 	12688.6 	12237.4 	13350.6 	13764.7 	14852.9 	15930.9 	17663.7 	19276.2 	19827.9 
MIO_EXP_VAL,TOTAL,EU28,CY	770.8 	604.3 	701.4 	888.9 	821.8 	880.9 	1237.3 	1308.9 	1303.1 	1111.7 	1250.3 	1449.9 
MIO_EXP_VAL,TOTAL,EU28,CZ	85216.4 	68959.9 	84603.6 	97589.5 	99380.2 	99118.7 	108376.8 	118560.3 	122930.6 	135237.3 	144491.2 	149058.1 
MIO_EXP_VAL,TOTAL,EU28,DE	625584.4 	502967.7 	572949.0 	629994.8 	619577.9 	618630.0 	648594.1 	692808.2 	705768.5 	749973.7 	778747.4 	777423.4 
MIO_EXP_VAL,TOTAL,EU28,DK	55607.7 	45611.9 	47792.7 	52548.5 	53148.4 	53202.9 	53464.1 	52791.3 	53107.9 	56039.5 	56913.5 	58166.6 
MIO_EXP_VAL,TOTAL,EU28,EE	5938.0 	4511.4 	5998.2 	7958.1 	8266.9 	8718.9 	8730.6 	8699.6 	8797.6 	9248.6 	9810.6 	10151.6 
MIO_EXP_VAL,TOTAL,EU28,EL	12889.3 	10221.4 	11637.4 	12616.5 	12224.2 	12849.3 	13103.1 	14025.4 	14333.6 	15502.9 	17671.8 	18981.0 
MIO_EXP_VAL,TOTAL,EU28,ES	133434.6 	113991.9 	131996.4 	146928.8 	146323.7 	150516.8 	155794.1 	165643.7 	175042.7 	187581.7 	194956.9 	197894.6 
MIO_EXP_VAL,TOTAL,EU28,EU28	2739506.4 	2213929.7 	2557480.4 	2823269.1 	2838718.3 	2838855.4 	2932380.1 	3069081.2 	3115574.6 	3351798.6 	3527701.4 	3573948.6 
MIO_EXP_VAL,TOTAL,EU28,FI	36728.5 	25104.6 	28536.7 	31737.6 	30539.1 	30978.9 	32080.8 	31791.6 	30674.9 	35854.4 	37883.7 	38599.0 
MIO_EXP_VAL,TOTAL,EU28,FR	268041.8 	217730.4 	240934.2 	261408.7 	260909.1 	259536.0 	263271.1 	268685.9 	269293.2 	278535.1 	290669.1 	295737.0 
MIO_EXP_VAL,TOTAL,EU28,HR	5842.4 	4548.2 	5439.3 	5735.8 	5602.3 	5899.3 	6618.1 	7687.3 	8182.9 	9091.0 	10001.3 	10575.9 
